,0
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.0
215,4.0
216,4.0
217,4.0
218,4.0
219,4.0
220,4.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,4.0
235,4.0
236,4.0
237,4.0
238,4.0
239,4.0
240,5.0
241,5.0
242,5.0
243,5.0
244,5.0
245,5.0
246,5.0
247,5.0
248,5.0
249,5.0
250,5.0
251,5.0
252,5.0
253,5.0
254,5.0
255,5.0
256,5.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,5.0
265,5.0
266,5.0
267,5.0
268,5.0
269,5.0
270,5.0
271,5.0
272,5.0
273,5.0
274,5.0
275,5.0
276,5.0
277,5.0
278,5.0
279,5.0
280,5.0
281,5.0
282,5.0
283,5.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,5.0
290,5.0
291,5.0
292,5.0
293,5.0
294,5.0
295,5.0
296,5.0
297,5.0
298,5.0
299,5.0
300,6.0
301,6.0
302,6.0
303,6.0
304,6.0
305,6.0
306,6.0
307,6.0
308,6.0
309,6.0
310,6.0
311,6.0
312,6.0
313,6.0
314,6.0
315,6.0
316,6.0
317,6.0
318,6.0
319,6.0
320,6.0
321,6.0
322,6.0
323,6.0
324,6.0
325,6.0
326,6.0
327,6.0
328,6.0
329,6.0
330,6.0
331,6.0
332,6.0
333,6.0
334,6.0
335,6.0
336,6.0
337,6.0
338,6.0
339,6.0
340,6.0
341,6.0
342,6.0
343,6.0
344,6.0
345,6.0
346,6.0
347,6.0
348,6.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,6.0
355,6.0
356,6.0
357,6.0
358,6.0
359,6.0
360,7.0
361,7.0
362,7.0
363,7.0
364,7.0
365,7.0
366,7.0
367,7.0
368,7.0
369,7.0
370,7.0
371,7.0
372,7.0
373,7.0
374,7.0
375,7.0
376,7.0
377,7.0
378,7.0
379,7.0
380,7.0
381,7.0
382,7.0
383,7.0
384,7.0
385,7.0
386,7.0
387,7.0
388,7.0
389,7.0
390,7.0
391,7.0
392,7.0
393,7.0
394,7.0
395,7.0
396,7.0
397,7.0
398,7.0
399,7.0
400,7.0
401,7.0
402,7.0
403,7.0
404,7.0
405,7.0
406,7.0
407,7.0
408,7.0
409,7.0
410,7.0
411,7.0
412,7.0
413,7.0
414,7.0
415,7.0
416,7.0
417,7.0
418,7.0
419,7.0
420,8.0
421,8.0
422,8.0
423,8.0
424,8.0
425,8.0
426,8.0
427,8.0
428,8.0
429,8.0
430,8.0
431,8.0
432,8.0
433,8.0
434,8.0
435,8.0
436,8.0
437,8.0
438,8.0
439,8.0
440,8.0
441,8.0
442,8.0
443,8.0
444,8.0
445,8.0
446,8.0
447,8.0
448,8.0
449,8.0
450,8.0
451,8.0
452,8.0
453,8.0
454,8.0
455,8.0
456,8.0
457,8.0
458,8.0
459,8.0
460,8.0
461,8.0
462,8.0
463,8.0
464,8.0
465,8.0
466,8.0
467,8.0
468,8.0
469,8.0
470,8.0
471,8.0
472,8.0
473,8.0
474,8.0
475,8.0
476,8.0
477,8.0
478,8.0
479,8.0
480,9.0
481,9.0
482,9.0
483,9.0
484,9.0
485,9.0
486,9.0
487,9.0
488,9.0
489,9.0
490,9.0
491,9.0
492,9.0
493,9.0
494,9.0
495,9.0
496,9.0
497,9.0
498,9.0
499,9.0
500,9.0
501,9.0
502,9.0
503,9.0
504,9.0
505,9.0
506,9.0
507,9.0
508,9.0
509,9.0
510,9.0
511,9.0
512,9.0
513,9.0
514,9.0
515,9.0
516,9.0
517,9.0
518,9.0
519,9.0
520,9.0
521,9.0
522,9.0
523,9.0
524,9.0
525,9.0
526,9.0
527,9.0
528,9.0
529,9.0
530,9.0
531,9.0
532,9.0
533,9.0
534,9.0
535,9.0
536,9.0
537,9.0
538,9.0
539,9.0
540,10.0
541,10.0
542,10.0
543,10.0
544,10.0
545,10.0
546,10.0
547,10.0
548,10.0
549,10.0
550,10.0
551,10.0
552,10.0
553,10.0
554,10.0
555,10.0
556,10.0
557,10.0
558,10.0
559,10.0
560,10.0
561,10.0
562,10.0
563,10.0
564,10.0
565,10.0
566,10.0
567,10.0
568,10.0
569,10.0
570,10.0
571,10.0
572,10.0
573,10.0
574,10.0
575,10.0
576,10.0
577,10.0
578,10.0
579,10.0
580,10.0
581,10.0
582,10.0
583,10.0
584,10.0
585,10.0
586,10.0
587,10.0
588,10.0
589,10.0
590,10.0
591,10.0
592,10.0
593,10.0
594,10.0
595,10.0
596,10.0
597,10.0
598,10.0
599,10.0
600,11.0
601,11.0
602,11.0
603,11.0
604,11.0
605,11.0
606,11.0
607,11.0
608,11.0
609,11.0
610,11.0
611,11.0
612,11.0
613,11.0
614,11.0
615,11.0
616,11.0
617,11.0
618,11.0
619,11.0
620,11.0
621,11.0
622,11.0
623,11.0
624,11.0
625,11.0
626,11.0
627,11.0
628,11.0
629,11.0
630,11.0
631,11.0
632,11.0
633,11.0
634,11.0
635,11.0
636,11.0
637,11.0
638,11.0
639,11.0
640,11.0
641,11.0
642,11.0
643,11.0
644,11.0
645,11.0
646,11.0
647,11.0
648,11.0
649,11.0
650,11.0
651,11.0
652,11.0
653,11.0
654,11.0
655,11.0
656,11.0
657,11.0
658,11.0
659,11.0
660,12.0
661,12.0
662,12.0
663,12.0
664,12.0
665,12.0
666,12.0
667,12.0
668,12.0
669,12.0
670,12.0
671,12.0
672,12.0
673,12.0
674,12.0
675,12.0
676,12.0
677,12.0
678,12.0
679,12.0
680,12.0
681,12.0
682,12.0
683,12.0
684,12.0
685,12.0
686,12.0
687,12.0
688,12.0
689,12.0
690,12.0
691,12.0
692,12.0
693,12.0
694,12.0
695,12.0
696,12.0
697,12.0
698,12.0
699,12.0
700,12.0
701,12.0
702,12.0
703,12.0
704,12.0
705,12.0
706,12.0
707,12.0
708,12.0
709,12.0
710,12.0
711,12.0
712,12.0
713,12.0
714,12.0
715,12.0
716,12.0
717,12.0
718,12.0
719,12.0
720,13.0
721,13.0
722,13.0
723,13.0
724,13.0
725,13.0
726,13.0
727,13.0
728,13.0
729,13.0
730,13.0
731,13.0
732,13.0
733,13.0
734,13.0
735,13.0
736,13.0
737,13.0
738,13.0
739,13.0
740,13.0
741,13.0
742,13.0
743,13.0
744,13.0
745,13.0
746,13.0
747,13.0
748,13.0
749,13.0
750,13.0
751,13.0
752,13.0
753,13.0
754,13.0
755,13.0
756,13.0
757,13.0
758,13.0
759,13.0
760,13.0
761,13.0
762,13.0
763,13.0
764,13.0
765,13.0
766,13.0
767,13.0
768,13.0
769,13.0
770,13.0
771,13.0
772,13.0
773,13.0
774,13.0
775,13.0
776,13.0
777,13.0
778,13.0
779,13.0
780,14.0
781,14.0
782,14.0
783,14.0
784,14.0
785,14.0
786,14.0
787,14.0
788,14.0
789,14.0
790,14.0
791,14.0
792,14.0
793,14.0
794,14.0
795,14.0
796,14.0
797,14.0
798,14.0
799,14.0
800,14.0
801,14.0
802,14.0
803,14.0
804,14.0
805,14.0
806,14.0
807,14.0
808,14.0
809,14.0
810,14.0
811,14.0
812,14.0
813,14.0
814,14.0
815,14.0
816,14.0
817,14.0
818,14.0
819,14.0
820,14.0
821,14.0
822,14.0
823,14.0
824,14.0
825,14.0
826,14.0
827,14.0
828,14.0
829,14.0
830,14.0
831,14.0
832,14.0
833,14.0
834,14.0
835,14.0
836,14.0
837,14.0
838,14.0
839,14.0
840,15.0
841,15.0
842,15.0
843,15.0
844,15.0
845,15.0
846,15.0
847,15.0
848,15.0
849,15.0
850,15.0
851,15.0
852,15.0
853,15.0
854,15.0
855,15.0
856,15.0
857,15.0
858,15.0
859,15.0
860,15.0
861,15.0
862,15.0
863,15.0
864,15.0
865,15.0
866,15.0
867,15.0
868,15.0
869,15.0
870,15.0
871,15.0
872,15.0
873,15.0
874,15.0
875,15.0
876,15.0
877,15.0
878,15.0
879,15.0
880,15.0
881,15.0
882,15.0
883,15.0
884,15.0
885,15.0
886,15.0
887,15.0
888,15.0
889,15.0
890,15.0
891,15.0
892,15.0
893,15.0
894,15.0
895,15.0
896,15.0
897,15.0
898,15.0
899,15.0
900,16.0
901,16.0
902,16.0
903,16.0
904,16.0
905,16.0
906,16.0
907,16.0
908,16.0
909,16.0
910,16.0
911,16.0
912,16.0
913,16.0
914,16.0
915,16.0
916,16.0
917,16.0
918,16.0
919,16.0
920,16.0
921,16.0
922,16.0
923,16.0
924,16.0
925,16.0
926,16.0
927,16.0
928,16.0
929,16.0
930,16.0
931,16.0
932,16.0
933,16.0
934,16.0
935,16.0
936,16.0
937,16.0
938,16.0
939,16.0
940,16.0
941,16.0
942,16.0
943,16.0
944,16.0
945,16.0
946,16.0
947,16.0
948,16.0
949,16.0
950,16.0
951,16.0
952,16.0
953,16.0
954,16.0
955,16.0
956,16.0
957,16.0
958,16.0
959,16.0
960,17.0
961,17.0
962,17.0
963,17.0
964,17.0
965,17.0
966,17.0
967,17.0
968,17.0
969,17.0
970,17.0
971,17.0
972,17.0
973,17.0
974,17.0
975,17.0
976,17.0
977,17.0
978,17.0
979,17.0
980,17.0
981,17.0
982,17.0
983,17.0
984,17.0
985,17.0
986,17.0
987,17.0
988,17.0
989,17.0
990,17.0
991,17.0
992,17.0
993,17.0
994,17.0
995,17.0
996,17.0
997,17.0
998,17.0
999,17.0
1000,17.0
1001,17.0
1002,17.0
1003,17.0
1004,17.0
1005,17.0
1006,17.0
1007,17.0
1008,17.0
1009,17.0
1010,17.0
1011,17.0
1012,17.0
1013,17.0
1014,17.0
1015,17.0
1016,17.0
1017,17.0
1018,17.0
1019,17.0
1020,18.0
1021,18.0
1022,18.0
1023,18.0
1024,18.0
1025,18.0
1026,18.0
1027,18.0
1028,18.0
1029,18.0
1030,18.0
1031,18.0
1032,18.0
1033,18.0
1034,18.0
1035,18.0
1036,18.0
1037,18.0
1038,18.0
1039,18.0
1040,18.0
1041,18.0
1042,18.0
1043,18.0
1044,18.0
1045,18.0
1046,18.0
1047,18.0
1048,18.0
1049,18.0
1050,18.0
1051,18.0
1052,18.0
1053,18.0
1054,18.0
1055,18.0
1056,18.0
1057,18.0
1058,18.0
1059,18.0
1060,18.0
1061,18.0
1062,18.0
1063,18.0
1064,18.0
1065,18.0
1066,18.0
1067,18.0
1068,18.0
1069,18.0
1070,18.0
1071,18.0
1072,18.0
1073,18.0
1074,18.0
1075,18.0
1076,18.0
1077,18.0
1078,18.0
1079,18.0
1080,19.0
1081,19.0
1082,19.0
1083,19.0
1084,19.0
1085,19.0
1086,19.0
1087,19.0
1088,19.0
1089,19.0
1090,19.0
1091,19.0
1092,19.0
1093,19.0
1094,19.0
1095,19.0
1096,19.0
1097,19.0
1098,19.0
1099,19.0
1100,19.0
1101,19.0
1102,19.0
1103,19.0
1104,19.0
1105,19.0
1106,19.0
1107,19.0
1108,19.0
1109,19.0
1110,19.0
1111,19.0
1112,19.0
1113,19.0
1114,19.0
1115,19.0
1116,19.0
1117,19.0
1118,19.0
1119,19.0
1120,19.0
1121,19.0
1122,19.0
1123,19.0
1124,19.0
1125,19.0
1126,19.0
1127,19.0
1128,19.0
1129,19.0
1130,19.0
1131,19.0
1132,19.0
1133,19.0
1134,19.0
1135,19.0
1136,19.0
1137,19.0
1138,19.0
1139,19.0
1140,20.0
1141,20.0
1142,20.0
1143,20.0
1144,20.0
1145,20.0
1146,20.0
1147,20.0
1148,20.0
1149,20.0
1150,20.0
1151,20.0
1152,20.0
1153,20.0
1154,20.0
1155,20.0
1156,20.0
1157,20.0
1158,20.0
1159,20.0
1160,20.0
1161,20.0
1162,20.0
1163,20.0
1164,20.0
1165,20.0
1166,20.0
1167,20.0
1168,20.0
1169,20.0
1170,20.0
1171,20.0
1172,20.0
1173,20.0
1174,20.0
1175,20.0
1176,20.0
1177,20.0
1178,20.0
1179,20.0
1180,20.0
1181,20.0
1182,20.0
1183,20.0
1184,20.0
1185,20.0
1186,20.0
1187,20.0
1188,20.0
1189,20.0
1190,20.0
1191,20.0
1192,20.0
1193,20.0
1194,20.0
1195,20.0
1196,20.0
1197,20.0
1198,20.0
1199,20.0
1200,21.0
1201,21.0
1202,21.0
1203,21.0
1204,21.0
1205,21.0
1206,21.0
1207,21.0
1208,21.0
1209,21.0
1210,21.0
1211,21.0
1212,21.0
1213,21.0
1214,21.0
1215,21.0
1216,21.0
1217,21.0
1218,21.0
1219,21.0
1220,21.0
1221,21.0
1222,21.0
1223,21.0
1224,21.0
1225,21.0
1226,21.0
1227,21.0
1228,21.0
1229,21.0
1230,21.0
1231,21.0
1232,21.0
1233,21.0
1234,21.0
1235,21.0
1236,21.0
1237,21.0
1238,21.0
1239,21.0
1240,21.0
1241,21.0
1242,21.0
1243,21.0
1244,21.0
1245,21.0
1246,21.0
1247,21.0
1248,21.0
1249,21.0
1250,21.0
1251,21.0
1252,21.0
1253,21.0
1254,21.0
1255,21.0
1256,21.0
1257,21.0
1258,21.0
1259,21.0
1260,22.0
1261,22.0
1262,22.0
1263,22.0
1264,22.0
1265,22.0
1266,22.0
1267,22.0
1268,22.0
1269,22.0
1270,22.0
1271,22.0
1272,22.0
1273,22.0
1274,22.0
1275,22.0
1276,22.0
1277,22.0
1278,22.0
1279,22.0
1280,22.0
1281,22.0
1282,22.0
1283,22.0
1284,22.0
1285,22.0
1286,22.0
1287,22.0
1288,22.0
1289,22.0
1290,22.0
1291,22.0
1292,22.0
1293,22.0
1294,22.0
1295,22.0
1296,22.0
1297,22.0
1298,22.0
1299,22.0
1300,22.0
1301,22.0
1302,22.0
1303,22.0
1304,22.0
1305,22.0
1306,22.0
1307,22.0
1308,22.0
1309,22.0
1310,22.0
1311,22.0
1312,22.0
1313,22.0
1314,22.0
1315,22.0
1316,22.0
1317,22.0
1318,22.0
1319,22.0
1320,23.0
1321,23.0
1322,23.0
1323,23.0
1324,23.0
1325,23.0
1326,23.0
1327,23.0
1328,23.0
1329,23.0
1330,23.0
1331,23.0
1332,23.0
1333,23.0
1334,23.0
1335,23.0
1336,23.0
1337,23.0
1338,23.0
1339,23.0
1340,23.0
1341,23.0
1342,23.0
1343,23.0
1344,23.0
1345,23.0
1346,23.0
1347,23.0
1348,23.0
1349,23.0
1350,23.0
1351,23.0
1352,23.0
1353,23.0
1354,23.0
1355,23.0
1356,23.0
1357,23.0
1358,23.0
1359,23.0
1360,23.0
1361,23.0
1362,23.0
1363,23.0
1364,23.0
1365,23.0
1366,23.0
1367,23.0
1368,23.0
1369,23.0
1370,23.0
1371,23.0
1372,23.0
1373,23.0
1374,23.0
1375,23.0
1376,23.0
1377,23.0
1378,23.0
1379,23.0
